,id,api_model,api_link,is_boosted,title,alt_titles,thumbnail,main_reference_number,has_not_been_viewed_much,boost_rank,date_start,date_end,date_display,date_qualifier_title,date_qualifier_id,artist_display,place_of_origin,dimensions,medium_display,inscriptions,credit_line,publication_history,exhibition_history,provenance_text,publishing_verification_level,internal_department_id,fiscal_year,fiscal_year_deaccession,is_public_domain,is_zoomable,max_zoom_window_size,copyright_notice,has_multimedia_resources,has_educational_resources,colorfulness,color,latitude,longitude,latlon,is_on_view,on_loan_display,gallery_title,gallery_id,artwork_type_title,artwork_type_id,department_title,department_id,artist_id,artist_title,alt_artist_ids,artist_ids,artist_titles,category_ids,category_titles,artwork_catalogue_ids,term_titles,style_id,style_title,alt_style_ids,style_ids,style_titles,classification_id,classification_title,alt_classification_ids,classification_ids,classification_titles,subject_id,alt_subject_ids,subject_ids,subject_titles,material_id,alt_material_ids,material_ids,material_titles,technique_id,alt_technique_ids,technique_ids,technique_titles,theme_titles,image_id,alt_image_ids,document_ids,sound_ids,video_ids,text_ids,section_ids,section_titles,site_ids,suggest_autocomplete_all,last_updated_source,last_updated,timestamp,suggest_autocomplete_boosted
0,100,artworks,https://api.artic.edu/api/v1/artworks/100,False,Simon Vouet,,"{'lqip': 'data:image/gif;base64,R0lGODlhBAAFAPQAAE5KQlVRSVtXTmVhV3FsY3VwZoaAdIuFeaSekKagkrSun7WvoLiyosK7rMS+sMrDtNHIudPLutTMvAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACH5BAAAAAAALAAAAAAEAAUAAAURYLQoUoMUTHIIg0EAQeM8UAgAOw==', 'width': 2215, 'height': 3000, 'alt_text': 'A work made of engraving in black on cream laid paper.'}",1887.716,False,,1630.0,1636.0,1630/36,,,"Robert van Voerst (Flemish, 1597-1636/37)
after Anthony van Dyck (Flemish, 1599-1641)",Flanders,243 × 177 mm (trimmed to platemark),Engraving in black on cream laid paper,,Gift of John E. Irwin,,,,Web Basic,3.0,,,True,True,-1,,False,False,11.9713,"{'h': 41, 'l': 58, 's': 9, 'percentage': 0.06782963853969956, 'population': 653}",,,,False,,,,,,Prints and Drawings,PC-13,27558.0,Robert van Voerst,[],[27558],['Robert van Voerst'],['PC-13'],['Prints and Drawings'],"[None, None]","['engraving', 'paper (fiber product)', 'print', 'prints and drawing']",,,[],[],[],TM-12,engraving,"['TM-17', 'TM-4']","['TM-12', 'TM-17', 'TM-4']","['engraving', 'print', 'prints and drawing']",,[],[],[],TM-2982,[],['TM-2982'],['paper (fiber product)'],,[],[],[],[],03c0fd45-3690-5fae-8023-4a3c16d3bfad,[],[],[],[],[],[],[],[],"[{'input': ['1887.716'], 'contexts': {'groupings': ['accession']}}, {'input': ['Simon Vouet'], 'weight': 252641, 'contexts': {'groupings': ['title']}}]",2020-11-16T09:13:05-06:00,2021-02-09T20:28:00-06:00,2021-04-22T22:13:59-05:00,
1,10000,artworks,https://api.artic.edu/api/v1/artworks/10000,False,Metamorphosis,,"{'lqip': 'data:image/gif;base64,R0lGODlhBAAFAPQAABYYHhUfIRoaIR0eJSYfJB8oLiQoKiUpLC8yNi4zODU4PTs7Oz07PTk9PkpIRUpLS2JcVWJbWmFdWXJoYgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACH5BAAAAAAALAAAAAAEAAUAAAURYJE0gRJNzwI5ksEgByAMRAgAOw==', 'width': 1845, 'height': 2250, 'alt_text': 'A work made of oil and tempera on canvas.'}",1959.167,False,,1959.0,1959.0,1959,,,"Kurt Seligmann
American (born Switzerland), 1900-1962",Switzerland,152.4 × 182.9 cm (60 × 72 in.),Oil and tempera on canvas,,Gift of Mr. and Mrs. Earle Ludgin,,,,Web Basic,246.0,1961.0,,False,True,1280,"© 2018 Orange County Citizens Foundation / Artists Rights Society (ARS), New York",False,False,11.3317,"{'h': 213, 'l': 47, 's': 2, 'percentage': 0.02157848336725886, 'population': 187}",,,,False,,,,,,Contemporary Art,PC-8,40809.0,Kurt Seligmann,[],[40809],['Kurt Seligmann'],['PC-8'],['Contemporary Art'],[],"['painting', 'abstract forms', 'Surrealism', 'modern and contemporary art', 'biomorphic', 'Abstraction', 'Surrealism in exile']",TM-7551,Surrealism,"['TM-14418', 'TM-14428']","['TM-7551', 'TM-14418', 'TM-14428']","['Surrealism', 'Abstraction', 'Surrealism in exile']",TM-9,painting,['TM-155'],"['TM-9', 'TM-155']","['painting', 'modern and contemporary art']",TM-12691,['TM-12463'],"['TM-12691', 'TM-12463']","['abstract forms', 'biomorphic']",,[],[],[],,[],[],[],[],38bd7a08-4be9-616b-4355-2ad2969ac612,[],[],[],[],[],[],[],[],"[{'input': ['1959.167'], 'contexts': {'groupings': ['accession']}}, {'input': ['Metamorphosis'], 'weight': 368, 'contexts': {'groupings': ['title']}}]",2020-09-12T16:56:03-05:00,2021-04-21T23:02:57-05:00,2021-04-22T22:18:27-05:00,
2,100000,artworks,https://api.artic.edu/api/v1/artworks/100000,False,Commodus,,,1982.2082,True,,180.0,192.0,A.D. 180–192,,,Roman,Roman Empire,Diam. 2.6 cm; 11.80 g,Billon,,,,,,Web Basic,941.0,1983.0,2017.0,False,False,843,,False,False,,,,,,,,,,,,,,51349.0,Ancient Roman,[],[51349],['Ancient Roman'],[],[],[],"['coin', 'billon', 'silver alloy', 'nonferrous metal', 'metal', 'inorganic material', 'ancient art']",,,[],[],[],TM-260,coin,['TM-1392'],"['TM-260', 'TM-1392']","['coin', 'ancient art']",,[],[],[],TM-2525,"['TM-2718', 'TM-2683', 'TM-2568', 'TM-2600']","['TM-2525', 'TM-2718', 'TM-2683', 'TM-2568', 'TM-2600']","['billon', 'silver alloy', 'nonferrous metal', 'metal', 'inorganic material']",,[],[],[],[],,[],[],[],[],[],[],[],[],"[{'input': ['1982.2082'], 'contexts': {'groupings': ['accession']}}]",2020-09-12T16:09:54-05:00,2021-04-21T23:04:13-05:00,2021-04-22T22:44:45-05:00,
3,100001,artworks,https://api.artic.edu/api/v1/artworks/100001,False,Commodus,,,1982.2083,True,,180.0,192.0,A.D. 180–192,,,Roman,Roman Empire,Diam. 2.3 cm; 11.32 g,Billon,,,,,,Web Basic,941.0,1983.0,2017.0,False,False,843,,False,False,,,,,,,,,,,,,,51349.0,Ancient Roman,[],[51349],['Ancient Roman'],[],[],[],"['coin', 'billon', 'silver alloy', 'nonferrous metal', 'metal', 'inorganic material', 'ancient art']",,,[],[],[],TM-260,coin,['TM-1392'],"['TM-260', 'TM-1392']","['coin', 'ancient art']",,[],[],[],TM-2525,"['TM-2718', 'TM-2683', 'TM-2568', 'TM-2600']","['TM-2525', 'TM-2718', 'TM-2683', 'TM-2568', 'TM-2600']","['billon', 'silver alloy', 'nonferrous metal', 'metal', 'inorganic material']",,[],[],[],[],,[],[],[],[],[],[],[],[],"[{'input': ['1982.2083'], 'contexts': {'groupings': ['accession']}}]",2020-09-12T16:09:54-05:00,2021-04-21T23:04:13-05:00,2021-04-22T22:44:45-05:00,
4,100002,artworks,https://api.artic.edu/api/v1/artworks/100002,False,Commodus,,,1982.2084,True,,180.0,192.0,A.D. 180–192,,,Roman,Roman Empire,Diam. 2.6 cm; 10.31 g,Billon,,,,,,Web Basic,941.0,1983.0,2017.0,False,False,843,,False,False,,,,,,,,,,,,,,51349.0,Ancient Roman,[],[51349],['Ancient Roman'],[],[],[],"['coin', 'billon', 'silver alloy', 'nonferrous metal', 'metal', 'inorganic material', 'ancient art']",,,[],[],[],TM-260,coin,['TM-1392'],"['TM-260', 'TM-1392']","['coin', 'ancient art']",,[],[],[],TM-2525,"['TM-2718', 'TM-2683', 'TM-2568', 'TM-2600']","['TM-2525', 'TM-2718', 'TM-2683', 'TM-2568', 'TM-2600']","['billon', 'silver alloy', 'nonferrous metal', 'metal', 'inorganic material']",,[],[],[],[],,[],[],[],[],[],[],[],[],"[{'input': ['1982.2084'], 'contexts': {'groupings': ['accession']}}]",2020-09-12T16:09:54-05:00,2021-04-21T23:04:13-05:00,2021-04-22T22:44:45-05:00,
5,100003,artworks,https://api.artic.edu/api/v1/artworks/100003,False,Commodus,,,1982.2085,True,,180.0,192.0,A.D. 180–192,,,Roman,Roman Empire,Diam. 2.5 cm; 10.11 g,Billon,,,,,,Web Basic,941.0,1983.0,2017.0,False,False,843,,False,False,,,,,,,,,,,,,,51349.0,Ancient Roman,[],[51349],['Ancient Roman'],[],[],[],"['coin', 'billon', 'silver alloy', 'nonferrous metal', 'metal', 'inorganic material', 'ancient art']",,,[],[],[],TM-260,coin,['TM-1392'],"['TM-260', 'TM-1392']","['coin', 'ancient art']",,[],[],[],TM-2525,"['TM-2718', 'TM-2683', 'TM-2568', 'TM-2600']","['TM-2525', 'TM-2718', 'TM-2683', 'TM-2568', 'TM-2600']","['billon', 'silver alloy', 'nonferrous metal', 'metal', 'inorganic material']",,[],[],[],[],,[],[],[],[],[],[],[],[],"[{'input': ['1982.2085'], 'contexts': {'groupings': ['accession']}}]",2020-09-12T16:09:54-05:00,2021-04-21T23:04:13-05:00,2021-04-22T22:44:45-05:00,
6,100004,artworks,https://api.artic.edu/api/v1/artworks/100004,False,Commodus,,,1982.2086,True,,180.0,192.0,A.D. 180–192,,,Roman,Roman Empire,Diam. 2.4 cm; 12.80 g,Billon,,,,,,Web Basic,941.0,1983.0,2017.0,False,False,843,,False,False,,,,,,,,,,,,,,51349.0,Ancient Roman,[],[51349],['Ancient Roman'],[],[],[],"['coin', 'billon', 'silver alloy', 'nonferrous metal', 'metal', 'inorganic material', 'ancient art']",,,[],[],[],TM-260,coin,['TM-1392'],"['TM-260', 'TM-1392']","['coin', 'ancient art']",,[],[],[],TM-2525,"['TM-2718', 'TM-2683', 'TM-2568', 'TM-2600']","['TM-2525', 'TM-2718', 'TM-2683', 'TM-2568', 'TM-2600']","['billon', 'silver alloy', 'nonferrous metal', 'metal', 'inorganic material']",,[],[],[],[],,[],[],[],[],[],[],[],[],"[{'input': ['1982.2086'], 'contexts': {'groupings': ['accession']}}]",2020-09-12T16:09:54-05:00,2021-04-21T23:04:13-05:00,2021-04-22T22:44:45-05:00,
7,100005,artworks,https://api.artic.edu/api/v1/artworks/100005,False,Commodus,,,1982.2087,True,,180.0,192.0,A.D. 180–192,,,Roman,Roman Empire,Diam. 2.5 cm; 13.22 g,Billon,,,,,,Web Basic,941.0,1983.0,2017.0,False,False,843,,False,False,,,,,,,,,,,,,,51349.0,Ancient Roman,[],[51349],['Ancient Roman'],[],[],[],"['coin', 'billon', 'silver alloy', 'nonferrous metal', 'metal', 'inorganic material', 'ancient art']",,,[],[],[],TM-260,coin,['TM-1392'],"['TM-260', 'TM-1392']","['coin', 'ancient art']",,[],[],[],TM-2525,"['TM-2718', 'TM-2683', 'TM-2568', 'TM-2600']","['TM-2525', 'TM-2718', 'TM-2683', 'TM-2568', 'TM-2600']","['billon', 'silver alloy', 'nonferrous metal', 'metal', 'inorganic material']",,[],[],[],[],,[],[],[],[],[],[],[],[],"[{'input': ['1982.2087'], 'contexts': {'groupings': ['accession']}}]",2020-09-12T16:09:54-05:00,2021-04-21T23:04:13-05:00,2021-04-22T22:44:45-05:00,
8,100006,artworks,https://api.artic.edu/api/v1/artworks/100006,False,Commodus,,,1982.2088,True,,180.0,192.0,A.D. 180–192,,,Roman,Roman Empire,Diam. 2.5 cm; 6.18 g,Billon,,,,,,Web Basic,941.0,1983.0,2017.0,False,False,843,,False,False,,,,,,,,,,,,,,51349.0,Ancient Roman,[],[51349],['Ancient Roman'],[],[],[],"['coin', 'billon', 'silver alloy', 'nonferrous metal', 'metal', 'inorganic material', 'ancient art']",,,[],[],[],TM-260,coin,['TM-1392'],"['TM-260', 'TM-1392']","['coin', 'ancient art']",,[],[],[],TM-2525,"['TM-2718', 'TM-2683', 'TM-2568', 'TM-2600']","['TM-2525', 'TM-2718', 'TM-2683', 'TM-2568', 'TM-2600']","['billon', 'silver alloy', 'nonferrous metal', 'metal', 'inorganic material']",,[],[],[],[],,[],[],[],[],[],[],[],[],"[{'input': ['1982.2088'], 'contexts': {'groupings': ['accession']}}]",2020-09-12T16:09:54-05:00,2021-04-21T23:04:13-05:00,2021-04-22T22:44:45-05:00,
9,100007,artworks,https://api.artic.edu/api/v1/artworks/100007,False,Commodus,,,1982.2089,True,,180.0,192.0,A.D. 180–192,,,Roman,Roman Empire,Diam. 2.4 cm; 11.46 g,Billon,,,,,,Web Basic,941.0,1983.0,2017.0,False,False,843,,False,False,,,,,,,,,,,,,,51349.0,Ancient Roman,[],[51349],['Ancient Roman'],[],[],[],"['coin', 'billon', 'silver alloy', 'nonferrous metal', 'metal', 'inorganic material', 'ancient art']",,,[],[],[],TM-260,coin,['TM-1392'],"['TM-260', 'TM-1392']","['coin', 'ancient art']",,[],[],[],TM-2525,"['TM-2718', 'TM-2683', 'TM-2568', 'TM-2600']","['TM-2525', 'TM-2718', 'TM-2683', 'TM-2568', 'TM-2600']","['billon', 'silver alloy', 'nonferrous metal', 'metal', 'inorganic material']",,[],[],[],[],,[],[],[],[],[],[],[],[],"[{'input': ['1982.2089'], 'contexts': {'groupings': ['accession']}}]",2020-09-12T16:09:54-05:00,2021-04-21T23:04:13-05:00,2021-04-22T22:44:45-05:00,
